20.05.2017
Stationscode;Stationsname;"Tagesmittelwerte �ber 50 �g/m�";Messmethode;"Erster Messtag im Jahr";"Aktuellster Messtag im Jahr";Jan;Feb;M�r;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
DENI042;G�ttingen;2;K;01.01.2016;31.12.2016;2;0;0;0;0;0;0;0;0;0;0;0
DENI043;Emsland;3;K;01.01.2016;31.12.2016;3;0;0;0;0;0;0;0;0;0;0;0
DENI048;"Hannover Verkehr";5;K;01.01.2016;31.12.2016;5;0;0;0;0;0;0;0;0;0;0;0
DENI051;Wurmberg;0;K;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;0;0
DENI052;Allertal;4;K;01.01.2016;31.12.2016;4;0;0;0;0;0;0;0;0;0;0;0
DENI053;S�doldenburg;7;K;01.01.2016;31.12.2016;4;0;0;0;3;0;0;0;0;0;0;0
DENI054;Hannover;4;K;01.01.2016;31.12.2016;4;0;0;0;0;0;0;0;0;0;0;0
DENI058;"Ostfries. Inseln";2;K;01.01.2016;31.12.2016;1;0;0;0;0;0;0;0;0;0;0;1
DENI059;Elbm�ndung;1;K;01.01.2016;31.12.2016;1;0;0;0;0;0;0;0;0;0;0;0
DENI060;Wendland;3;K;01.01.2016;31.12.2016;3;0;0;0;0;0;0;0;0;0;0;0
DENI062;"L�neburger Heide";1;K;01.01.2016;31.12.2016;1;0;0;0;0;0;0;0;0;0;0;0
DENI063;"Altes Land";1;K;01.01.2016;31.12.2016;1;0;0;0;0;0;0;0;0;0;0;0
DENI067;Osnabr�ck-Verkehr;6;K;01.01.2016;31.12.2016;4;0;0;0;0;0;0;0;0;1;0;1
DENI068;G�ttingen-Verkehr;4;K;01.01.2016;31.12.2016;3;0;1;0;0;0;0;0;0;0;0;0
DENI070;Salzgitter-Dr�tte;4;K;01.01.2016;31.12.2016;4;0;0;0;0;0;0;0;0;0;0;0
DENI071;Barbis-Verkehr;3;K;01.01.2016;31.12.2016;3;0;0;0;0;0;0;0;0;0;0;0
DENI075;Braunschweig-Verkehr;6;K;01.01.2016;31.12.2016;5;0;1;0;0;0;0;0;0;0;0;0
DENI077;Solling-S�d;2;K;01.01.2016;31.12.2016;2;0;0;0;0;0;0;0;0;0;0;0
DENI143;"Oldenburg Heiligengeistwall";8;K;01.01.2016;31.12.2016;5;0;1;0;0;0;0;0;0;0;1;1
DENI157;"Wolfsburg He�linger Stra�e";6;K;01.01.2016;31.12.2016;4;0;1;0;0;0;0;0;0;0;1;0
DENW002;Datteln-Hagem;2;K;01.01.2016;31.12.2016;1;0;0;0;0;0;0;0;0;0;0;1
DENW006;L�nen-Niederaden;1;K;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;0;1
DENW008;Dortmund-Eving;8;G;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;2;6
DENW021;Bottrop-Welheim;7;G;01.01.2016;31.12.2016;3;0;1;0;0;0;0;0;0;0;0;3
DENW022;Gelsenkirchen-Bismarck;10;G;01.01.2016;31.12.2016;2;0;0;0;0;0;0;0;0;0;2;6
DENW024;Essen-Vogelheim;4;K;01.01.2016;31.12.2016;1;0;1;0;0;0;0;0;0;0;0;2
DENW029;Hattingen-Blankenstein;0;K;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;0;0
DENW030;Wesel-Feldmark;3;K;01.01.2016;31.12.2016;2;0;0;0;0;0;0;0;0;0;0;1
DENW034;Duisburg-Walsum;4;G;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;0;4
DENW038;M�lheim-Styrum;4;G;01.01.2016;31.12.2016;1;0;1;0;0;0;0;0;1;0;0;1
